Medicine,Symptoms Treated,Dosages,Notes,Amazon_Link,1mg_Link,Apollo_Link,Buying_Link
Acetaminophen (Paracetamol),Fever|Headache,500-1000 mg every 4-6 hours|500-1000 mg every 4-6 hours,Max 4000 mg/day; take with water|Max 4000 mg/day; avoid alcohol,https://www.amazon.in/s?k=Acetaminophen+(Paracetamol),https://www.1mg.com/search/all?name=Acetaminophen%20(Paracetamol),https://www.apollopharmacy.in/search-result?searchText=Acetaminophen%20(Paracetamol),https://www.1mg.com/search/all?name=Acetaminophen+(Paracetamol)
Ibuprofen,Headache|Fever,200-400 mg every 6-8 hours|200-400 mg every 6-8 hours,Max 3200 mg/day; take with food|Max 3200 mg/day; reduce inflammation,https://www.amazon.in/s?k=Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen,https://www.apollopharmacy.in/search-result?searchText=Ibuprofen,https://www.1mg.com/search/all?name=Ibuprofen
Naproxen,Muscle Pain|Fever,250-500 mg every 12 hours|250-500 mg every 12 hours,Max 1500 mg/day; take with food|Max 1500 mg/day; anti-inflammatory,https://www.amazon.in/s?k=Naproxen,https://www.1mg.com/search/all?name=Naproxen,https://www.apollopharmacy.in/search-result?searchText=Naproxen,https://www.1mg.com/search/all?name=Naproxen
Aspirin,Headache|Fever,325-650 mg every 4-6 hours|325-650 mg every 4-6 hours,Max 4000 mg/day; take with food|Max 4000 mg/day; avoid in kids,https://www.amazon.in/s?k=Aspirin,https://www.1mg.com/search/all?name=Aspirin,https://www.apollopharmacy.in/search-result?searchText=Aspirin,https://www.1mg.com/search/all?name=Aspirin
Dextromethorphan,Dry cough,10-20 mg every 4 hours,Avoid in chronic cough; hydrate,https://www.amazon.in/s?k=Dextromethorphan,https://www.1mg.com/search/all?name=Dextromethorphan,https://www.apollopharmacy.in/search-result?searchText=Dextromethorphan,https://www.1mg.com/search/all?name=Dextromethorphan
Guaifenesin,Wet cough,200-400 mg every 4 hours,Max 2400 mg/day; drink fluids,https://www.amazon.in/s?k=Guaifenesin,https://www.1mg.com/search/all?name=Guaifenesin,https://www.apollopharmacy.in/search-result?searchText=Guaifenesin,https://www.1mg.com/search/all?name=Guaifenesin
Pseudoephedrine,Nasal Congestion,60 mg every 4-6 hours,Max 240 mg/day; avoid if hypertensive,https://www.amazon.in/s?k=Pseudoephedrine,https://www.1mg.com/search/all?name=Pseudoephedrine,https://www.apollopharmacy.in/search-result?searchText=Pseudoephedrine,https://www.1mg.com/search/all?name=Pseudoephedrine
Cetirizine,Allergies,10 mg once daily,May cause drowsiness,https://www.amazon.in/s?k=Cetirizine,https://www.1mg.com/search/all?name=Cetirizine,https://www.apollopharmacy.in/search-result?searchText=Cetirizine,https://www.1mg.com/search/all?name=Cetirizine
Omeprazole,Stomach Ache (Acid),20 mg once daily,Take before meals; max 8 weeks,https://www.amazon.in/s?k=Omeprazole,https://www.1mg.com/search/all?name=Omeprazole,https://www.apollopharmacy.in/search-result?searchText=Omeprazole,https://www.1mg.com/search/all?name=Omeprazole
Loperamide,Diarrhea,"4 mg initially, then 2 mg",Max 16 mg/day; hydrate well,https://www.amazon.in/s?k=Loperamide,https://www.1mg.com/search/all?name=Loperamide,https://www.apollopharmacy.in/search-result?searchText=Loperamide,https://www.1mg.com/search/all?name=Loperamide
Diclofenac,Muscle Pain,50 mg every 8 hours,Max 150 mg/day; take with food,https://www.amazon.in/s?k=Diclofenac,https://www.1mg.com/search/all?name=Diclofenac,https://www.apollopharmacy.in/search-result?searchText=Diclofenac,https://www.1mg.com/search/all?name=Diclofenac
Codeine,Cough (Dry),10-20 mg every 4-6 hours,Prescription only; may cause drowsiness,https://www.amazon.in/s?k=Codeine,https://www.1mg.com/search/all?name=Codeine,https://www.apollopharmacy.in/search-result?searchText=Codeine,https://www.1mg.com/search/all?name=Codeine
Oxymetazoline,Nasal Congestion,2-3 sprays per nostril every 12 hours,Max 3 days; avoid overuse,https://www.amazon.in/s?k=Oxymetazoline,https://www.1mg.com/search/all?name=Oxymetazoline,https://www.apollopharmacy.in/search-result?searchText=Oxymetazoline,https://www.1mg.com/search/all?name=Oxymetazoline
Loratadine,Allergies,10 mg once daily,Non-drowsy; take on empty stomach,https://www.amazon.in/s?k=Loratadine,https://www.1mg.com/search/all?name=Loratadine,https://www.apollopharmacy.in/search-result?searchText=Loratadine,https://www.1mg.com/search/all?name=Loratadine
Simethicone,Stomach Ache,80-160 mg after meals,Max 500 mg/day; for gas relief,https://www.amazon.in/s?k=Simethicone,https://www.1mg.com/search/all?name=Simethicone,https://www.apollopharmacy.in/search-result?searchText=Simethicone,https://www.1mg.com/search/all?name=Simethicone
Bismuth Subsalicylate,Diarrhea,524 mg every 30-60 minutes,Max 8 doses/day; avoid in fever,https://www.amazon.in/s?k=Bismuth+Subsalicylate,https://www.1mg.com/search/all?name=Bismuth%20Subsalicylate,https://www.apollopharmacy.in/search-result?searchText=Bismuth%20Subsalicylate,https://www.1mg.com/search/all?name=Bismuth+Subsalicylate
Benzocaine,Sore Throat,1 lozenge every 2 hours,Max 10/day; numbs throat,https://www.amazon.in/s?k=Benzocaine,https://www.1mg.com/search/all?name=Benzocaine,https://www.apollopharmacy.in/search-result?searchText=Benzocaine,https://www.1mg.com/search/all?name=Benzocaine
Diphenhydramine,Insomnia,25-50 mg at bedtime,May cause drowsiness next day,https://www.amazon.in/s?k=Diphenhydramine,https://www.1mg.com/search/all?name=Diphenhydramine,https://www.apollopharmacy.in/search-result?searchText=Diphenhydramine,https://www.1mg.com/search/all?name=Diphenhydramine
Docusate,Constipation,100 mg twice daily,Max 300 mg/day; drink water,https://www.amazon.in/s?k=Docusate,https://www.1mg.com/search/all?name=Docusate,https://www.apollopharmacy.in/search-result?searchText=Docusate,https://www.1mg.com/search/all?name=Docusate
Ranitidine,Heartburn,150 mg twice daily,Max 300 mg/day; take before meals,https://www.amazon.in/s?k=Ranitidine,https://www.1mg.com/search/all?name=Ranitidine,https://www.apollopharmacy.in/search-result?searchText=Ranitidine,https://www.1mg.com/search/all?name=Ranitidine
Ondansetron,Nausea,8 mg every 8 hours,Prescription; max 24 mg/day,https://www.amazon.in/s?k=Ondansetron,https://www.1mg.com/search/all?name=Ondansetron,https://www.apollopharmacy.in/search-result?searchText=Ondansetron,https://www.1mg.com/search/all?name=Ondansetron
